25/06/16,02:52,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:32,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:32,"3-4 POL X201X191XD191-10P","200.5","190.8","190.7","5","0","0","10","1.15","0","10","2 kg","15 kg","12 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,02:32,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:32,"3-4 POL X201X191XD190-10P","200.5","190.8","189.6","5","0","0","10","1.15","0","10","2 kg","16 kg","12 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,02:32,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:32,"3-4 POL X201X191XD90-10P","200.5","190.8","89.9","5","0","0","10","1.15","0","10","5 kg","48 kg","9 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,02:08,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:08,"1 POL X200X201XD140-3P","200.4","201.1","140.2","5","0","0","3","1.3","0","3","5 kg","15 kg","3 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,02:08,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:08,"1 POL X200X201XD140-3P","200.4","201.1","140.2","5","0","0","3","1.3","0","3","5 kg","15 kg","3 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,02:08,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:08,"1 POL X200X201XD140-3P","200.4","201.1","140.2","5","0","0","3","1.3","0","3","5 kg","15 kg","3 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,02:08,nomePadrao,txd,tyd,DiamFuro,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,02:08,"1 POL X200X201XD140-3P","200.4","201.1","140.2","5","0","0","3","1.3","0","3","5 kg","15 kg","3 metros","1.16.0624","0","retangulo com furo","Oxicorte"
25/06/16,01:02,nomePadrao,diam1,,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,01:02,"3-4 POL X D200-20P","200.4","","5","0","0","20","1.15","0","20","5 kg","95 kg","12 metros","1.16.0624","0",circulo,"Oxicorte"
25/06/16,01:01,nomePadrao,diam1,diam2,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,01:01,"3-4 POL XD200XD91-10P","200.3","90.8","5","0","0","10","1.15","0","10","4 kg","38 kg","9 metros","1.16.0624","0",anel,"Oxicorte"
25/06/16,01:01,nomePadrao,txd,tyd,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,01:01,"5-8 POL X103X214-20P","102.6","214.3","5","0","0","20","1.15","0","20","3 kg","55 kg","8 metros","1.16.0624","0","retangulo","Oxicorte"
25/06/16,00:39,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,00:39,"3-4 POL X81X121-10P","81.4","120.7","2.7","1.8","5","0","0","10","1.15","0","10","2 kg","12 kg","2 metros","1.16.0624","0","triangulo com pontas cortadas","Oxicorte"
25/06/16,00:35,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,00:35,"3-4 POL X81X121-10P","81.4","120.7","2.7","1.8","5","0","0","10","1.15","0","10","2 kg","12 kg","2 metros","1.16.0624","0","triangulo com pontas cortadas","Oxicorte"
25/06/16,00:27,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,00:27,"3-4 POL X201X116-10P","200.8","116.2","3.4","4.5","5","0","0","10","1.15","0","10","2 kg","11 kg","3 metros","1.16.0624","0","triangulo com pontas cortadas","Oxicorte"
25/06/16,00:26,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,00:26,"3-4 POL X59X61-10P","59.3","60.7","2.6","3.8","5","0","0","10","1.4","0","10","291 gramas","3 kg","1 metro","1.16.0624","0","triangulo com pontas cortadas","Plasma"
25/06/16,00:26,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,00:26,"3-4 POL X59X61-10P","59.3","60.7","2.6","3.8","5","0","0","10","1.15","0","10","291 gramas","3 kg","1 metro","1.16.0624","0","triangulo com pontas cortadas","Oxicorte"
25/06/16,00:21,nomePadrao,txd,tyd,chfX,chfY,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
25/06/16,00:21,"5-8 POL X43X51-10P","43.2","50.7","3.4","2.8","5","0","0","10","1.15","0","10","169 gramas","2 kg","1 metro","1.16.0624","0","triangulo com pontas cortadas","Oxicorte"
22/04/16,08:41,nomePadrao,diam1,diam2,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
22/04/16,08:41,"1-4 POL XD120XD26-92P","120","26","5","575","3000","100","1.2","8","92","538 gramas","50 kg","44 metros","1.16.0203","0",anel,"Plasma"
20/04/16,15:39,nomePadrao,diam1,diam2,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
20/04/16,15:39,"1-8 POL XD80XD45-1P","80","45","5","0","0","1","1.0","0","1","86 gramas","86 gramas","414 mm","1.16.0203","0",anel,"Plasma"
20/04/16,11:10,nomePadrao,txd,tyd,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
20/04/16,11:10,"7-8 POL X285X395-3P","285","395","5","0","0","3","1.3","0","3","20 kg","59 kg","3 metros","1.16.0203","0","retangulo","Oxicorte"
20/04/16,10:42,nomePadrao,txd,tyd,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
20/04/16,10:42,"2-1-2 POL X132X157-1P","132","157","5","0","0","1","1.75","0","1","11 kg","11 kg","602 mm","1.16.0203","0","retangulo","Oxicorte"
20/04/16,07:53,nomePadrao,txd,tyd,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
20/04/16,07:53,"1-8 POL X131X361-6P","131","361","5","0","0","6","1.0","0","6","2 kg","8 kg","4 metros","1.16.0203","0","retangulo","Plasma"
19/04/16,14:41,nomePadrao,txd,tyd,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
19/04/16,14:41,"3-4 POL X201X291-1P","201","291","5","0","0","1","1.4","0","1","9 kg","9 kg","1 metro","1.16.0203","0","retangulo","Plasma"
19/04/16,11:15,nomePadrao,txd,tyd,entrada,chapaX,chapaY,pecas,Kerf,pecasFaltantes,pecasGeradas,SpesoUnitario,SpesoTotal,SdistCorte,versao,erros,formato,processo
